########################################################
zh         Jbb
100.0 0.06258118699063467
102.192 0.06590337687532201
104.432 0.06938200125112767
106.721 0.07302181430088225
109.06 0.07682734504774552
111.451 0.08080452052733787
113.894 0.08495562854457422
116.39 0.08928414750214365
118.942 0.09379663224488899
121.549 0.0984920528159677
124.213 0.10337399790039174
126.936 0.10844541797742978
129.718 0.11370470190879207
132.562 0.11915494696241256
135.467 0.12479055445555376
138.437 0.1306144102034728
141.471 0.1366183755293952
144.572 0.14280075359249475
147.741 0.14915438443482543
150.98 0.15567245768882007
154.289 0.1623423767727623
157.671 0.16915572836733267
161.127 0.17609812004902825
164.659 0.18315514150482945
168.268 0.19030830542849456
171.957 0.19754096708260585
175.726 0.20482847929450224
179.578 0.2121499927336122
183.514 0.2194788176399316
187.537 0.22679013828851655
191.648 0.23405375884550847
195.848 0.24123824152980147
200.141 0.2483161283975187
204.528 0.25525400953098154
209.012 0.26202136386537617
213.593 0.26858336500853214
218.275 0.274911790857398
223.059 0.28097540782425506
227.949 0.2867487168769777
232.945 0.29220393615018864
238.052 0.2973219744320066
243.27 0.30208232389985457
248.602 0.30647190563211013
254.051 0.3104821269850328
259.62 0.31410943871029784
265.311 0.3173548263232232
271.126 0.3202249011468654
277.069 0.3227323519146156
283.143 0.32489413706590964
289.349 0.3267310148340645
295.691 0.3282684548116708
302.173 0.3295345408037124
308.796 0.3305586651626052
315.565 0.3313719551306379
322.482 0.33200476261999384
329.551 0.33248682393029194
336.775 0.3328457406059769
344.157 0.33310667572513303
351.7 0.3332917715232595
359.41 0.3334199131393678
367.288 0.33350658362607194
375.339 0.33356414145009494
383.566 0.3336020317779798
391.974 0.3336272187152016
400.565 0.3336446081634443
409.346 0.3336575235108174
418.318 0.3336681003864536
427.488 0.33367766135595983
436.858 0.33368698345860615
446.434 0.33369651528203054
456.22 0.3337065145171505
466.22 0.3337171407831235
476.439 0.33372851118734764
486.883 0.33374073049258995
497.555 0.3337539036200071
508.461 0.3337681512857308
519.607 0.33378361285628483
530.996 0.33380044811846443
542.636 0.33381884951697555
554.53 0.3338390447756199
566.685 0.33386131035276856
579.107 0.3338859807480752
591.801 0.333913463605591
604.773 0.3339442647015539
618.029 0.3339790169885434
631.576 0.3340185245032265
645.42 0.33406381466803886
